THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
"The cooling effect of camphor, for example, is higher than that of barley water, and the warming effect of snake flesh is stronger than that of garlic.","فإنّ تبريد الكافور زائد على تبريد مآءِ الشعير، وإسخان لحم الأفاعي أكثر من إسخان الثوم. "
That is why substances have been given grades in order to establish the extent of their differences and to employ them according to their effectiveness. When food or medicine is moderate.,"فلهذا احتيج إلى إخراج درجاتها، ليعلم التفاوت فيها، وتستعمل بحسب مقادير أفعالها. فالغذاء أوالدواء، إذا كان معتدلًا"
"it is not accorded any degree related to any of the four primary qualities because it has no effect on the body. By giving the substance a degree (daraja), quantify its effect on the body, The body is the recipient of influencing factors.","فلا درجة له في شيء من الكيفيّات الأربع الأمهات، لأنّه لا تأثير له في البدن، لأنّ معنانا في قولنا: ""درجة"" كمية تأثير الشيء في البدن، وإنمّا البدن هو المؤثر فيه. "
"and, when it deviates from a state of equilibrium, it is essentially under the influence of one of the four degrees: The first degree applies to those substances that have a greater effect on the body than the body’s effect on them.","فإذا خرج عن الاعتدال، لم يخل من إحدى درجات أربع: فالدرجة الأولى: هى الأشياء التي تؤثر في البدن أكثر مما يؤثر البدن فيها "
"This it does by changing the quality of the air inside the body only, and the evidence of that is that the user feels only a slight change in his body.",وذلك بأنْ يحلّ كيفية الهواءِ الذي في باطن البدن فقط. وعلامة ذلك أن يحسّ المستعمل له بتغيّر يسير ينال البدن. 
"The second degree is ascribed to things that have a greater evident effect on the body, for their influence goes beyond changing the air in the body and begins to change its moisture.","والدرجة الثانية: هى الأشياء التي تؤثر في البدن تاثيرًا أبين من ذلك، بأن تتجاوز إحالة الهواء إلى إحالة رطوبة الجسد. "
"The third degree encompasses things that have an exceedingly strong effect on the body, going beyond the effect on air and moisture, and having an effect on fat, which is tougher than the other two.",والدرجة الثالثة: هى الأشياء التي تؤثر في البدن تأثيرًا مفرطًا يتجاوز الهواء والرطوبة إلى التأثير في الشّحم الذي هو أشد منها. 
"The fourth degree includes things that corrupt the body, causing it to deviate from its normal state. This can occur through melting the flesh of the body and separating its parts, or through anaesthetising the body and extinguishing its heat.","الدرجة الرابعة: هى الأشياء التي تفسد البدن، وتخرجه عن صورته، بأن تذيب لحمه، وتفرّق أجزاءَه، أو تخدرّه، وتطفئ حرارته"
"with the result that an animal lacks cohesion and has no hope of recovery. For this reason, there is no fifth degree which, if it did exist, would be said to have an effect on the bones.","ولا قوام للحيوان بعد ذلك ولا تماسك، فلهذا لا يوجد درجة خامسة، حتى يمكن أن يقال أنها الأشياء التي تعمل في العظْم. "
"This categorisation is similar to what musicians use for lute strings, which they also divide into four groups: The first is al-bamm, from which the lowest notes are produced, and the last is al-zir, from which the highest notes are produced.","وهذا كما فعله أصحاب الموسيقى بأوتار العود، فإنهم جعلوها أربعة. أولها البمّ الذي يخرج منه أثقل النّغم، وآخرها الزير الذي يخرج منه أحد النغم"
"and between them lie al-muthanna (the dual) and al-muthallath (the triple). Musicians did not add a fifth string because they did not find a note emanating from the throat of a human being that was consistent with a fifth string, having notes below those of al-bamm or sharper than those of al-zir.","وما بينهما المثنى والمثلث. ولم يزيدوا وترًا خامسًا، لأنهم لم يجدوا نغمة تخرج من حلق الإنسان تلائم الوتر الخامس الزائد ثقله على ثقل البم أو الناقص حدته عن حدة الزير. "
"Physicians, however, were not satisfied with these four degrees, so they divided each degree into three levels: the beginning, the middle and the end.","ولا يكتفي الأطباء بهذه الدرجات الأربع، حتى يجعلوا في كل درجة ثلاث مراتب، وهى أول الدرجة، ووسطها، وآخرها. "
"The reason for this is that they perceived some disparity between things of the same degree. Certain substances were nearer to the beginning of a degree, others more to the middle, and others nearer to its end.","وذلك أنهم رأوا الأشياء التي في درجة واحدة تتفاوت، حتّى يكون أحدها في تلك الدرجة، والآخر في وسطها، أو في طرفها ألأخير. "
